net,sta,lat,lon,x,y,corr
NZ,A11,-40.684576537,175.859680208,5492.32378361,1841.66161,0.147745937226
NZ,ABAZ,-36.600224003,174.832332909,5947.91177655,1763.89147669,-0.164217929
NZ,AC1A,-42.077902323,173.177540327,5341.55906317,1614.68552258,0.0741284819474
NZ,AC2A,-42.079302358,173.17834033,5341.40347895,1614.75137184,0.0731028151125
NZ,AC3A,-42.087602527,173.166340139,5340.48390769,1613.75698585,0.0732264916415
NZ,AC4A,-42.087702529,173.166240137,5340.4728205,1613.7486937,0.0732264916415
NZ,AC5A,-42.090902633,173.176740257,5340.11576874,1614.61635931,0.0732264916415
NZ,ADCS,-43.9024444,171.74756295,5138.20001891,1499.42226923,-0.0279459193317
NZ,AGA,-40.451572759,176.479888893,5516.30238439,1895.10533682,0.192720331173
NZ,AHAA,-42.567510784,171.866421234,5286.58791774,1506.95795385,0.0991832584875
NZ,AICS,-42.768185088,171.624357133,5264.00979201,1487.45215869,0.048186527861
NZ,AKCZ,-43.8721,172.90983,5142.32862003,1592.75518853,0.138367301
NZ,AKSS,-43.81091,172.96349,5149.12797256,1597.06356282,0.187162534706
NZ,AKUS,-36.853158207,174.770451257,5919.95420609,1757.83730977,-0.704855337296
NZ,ALLC,-38.416928536,175.473483976,5745.02684404,1815.94546713,-0.146274352397
NZ,ALRZ,-38.562043299,176.343014052,5726.52147415,1891.29066721,-0.018188038
NZ,AMBC,-43.154677722,172.730879511,5221.97312597,1578.11953098,0.286769140557
NZ,AMCZ,-43.17654,172.65146,5219.52147827,1571.67253657,0.298570183
NZ,AMF,-36.948199839,174.760180787,5909.42663158,1756.72704326,-0.608080064585
NZ,AN01,-77.2431,166.3725,1416.89058428,1436.96234436,0.0
NZ,AN02,-77.0352,163.1808,1428.79878208,1355.1651077,0.0
NZ,AN03,-77.115,161.5317,1412.60765509,1316.23533223,0.0
NZ,AN04,-77.4371,163.8019,1386.97805096,1377.52831458,0.0
NZ,AN05,-77.6986,163.9118,1358.54278643,1384.67271075,0.0
NZ,AN06,-77.4536,162.6519,1380.53123426,1350.29646145,0.0
NZ,AN07,-77.5296,160.9227,1364.24738454,1310.82812245,0.0
NZ,AN08,-77.5494,160.2731,1358.79639968,1295.97827836,0.0
NZ,AN09,-77.9553,162.1301,1323.18057249,1348.17214525,0.0
NZ,AN10,-77.8497,166.7669,1350.62177877,1453.80977554,0.0
NZ,ANWZ,-40.459742927,176.475058802,5515.4113908,1894.65990598,0.197018386
NZ,APPS,-42.948949444,171.567735496,5243.85914022,1483.1609865,0.0632720000315
NZ,APUS,-38.081802501,175.639267213,5781.81905264,1831.48274315,-0.266652763765
NZ,APZ,-46.83180552,167.988825498,4801.32296636,1217.85966344,0.130910343
NZ,ARAZ,-38.62769,176.12006,5719.91858408,1871.61151237,0.065031575
NZ,ARCZ,-43.94705,171.17674,5132.39233386,1453.69086309,-0.082827138
