net,sta,lat,lon,on,off,area,z,e,n,elev
geonet,AMCZ,-43.1765,172.6515,2014-08-11,,kai,EHZ,EHE,EHN,179
geonet,APPS,-42.9489,171.5677,2014-08-12,,kai,BNZ,BNE,BNN,743
geonet,ASHS,-43.2744,172.5959,2014-08-13,,kai,BNZ,BNE,BNN,47
geonet,BHW,-41.4082,174.8711,2014-08-14,,kai,HHZ,HHE,HHN,101
geonet,BMTS,-41.1914,174.926,2014-08-15,,kai,BNZ,BNE,BNN,84
geonet,BSWZ,-41.7149,173.8757,2014-08-16,,kai,EHZ,EHE,EHN,277
geonet,BTWS,-41.3892,173.1285,2014-08-17,,kai,BNZ,BNE,BNN,44
geonet,CECS,-42.8135,173.2749,2014-08-18,,kai,BNZ,BNE,BNN,69
geonet,CMWZ,-41.749,174.2138,2014-08-19,,kai,EHZ,EHE,EHN,281
geonet,CRSZ,-42.1446,173.8154,2014-08-20,,kai,EHZ,EHE,EHN,930.3
geonet,CSHS,-43.2265,171.7236,2014-08-21,,kai,BNZ,BNE,BNN,731
geonet,CULC,-42.7594,172.8026,2014-08-22,,kai,BNZ,BNE,BNN,206
geonet,DFHS,-43.4897,172.1022,2014-08-23,,kai,BNZ,BNE,BNN,210
geonet,DSZ,-41.745,171.8046,2014-08-24,,kai,HHZ,HHE,HHN,650
geonet,GVZ,-42.9674,173.0348,2014-08-25,,kai,BNZ/HHZ,BNE/HHE,BNN/HHN,400.5
geonet,HAVS,-41.2723,173.7847,2014-08-26,,kai,BNZ,BNE,BNN,67
geonet,HSES,-42.5232,172.8305,2014-08-27,,kai,BNZ,BNE,BNN,377
geonet,INZ,-42.7245,171.4441,2014-08-28,,kai,BNZ/HHZ,BNE/HHE,BNN/HHN,167
geonet,KEKS,-41.9557,173.9814,2014-08-29,,kai,BNZ,BNE,BNN,339
geonet,KHZ,-42.416,173.539,2014-08-30,,kai,BNZ/HHZ,BNE/HHE,BNN/HHN,64
geonet,KIKS,-42.4258,173.6821,2014-08-31,,kai,BNZ,BNE,BNN,8
